AVAIL_CASH,AVAIL_JOBS,ACTIVE_JOBS
100000,14315,5335
100000,14896,10089
100000,15055,14684
100000,15231,19103
100000,19103,19650
100000,19650,19650
100000,19650,19650
100000,19650,19650
100000,19650,19650
100000,19650,19650
100000,19650,19650
